revenu_fcfa,credit_fcfa,age,score,default
4519672.314245463,558415.6499359843,24,5,1
2979962.9176322636,2433170.18256383,60,4,1
4348380.545741505,2607324.1282421174,41,3,0
4439608.709948022,1538791.6794186244,21,5,1
2928472.8729604483,-72833.83371592802,45,2,0
6798661.766717135,1563004.4413980138,32,4,1
4710749.381367682,2313443.2043220373,18,5,1
2213044.7541960273,816870.744980697,20,4,1
4984830.412950745,2146687.9358233246,31,2,0
2537977.494659018,1987752.1206616035,55,5,1
5180626.905613678,2463433.199680871,18,2,0
5737893.368511106,2095664.2947313227,55,1,0
2768976.522472434,1221544.8472947557,55,2,0
5445064.193866483,2957257.201331593,38,4,1
4619171.390404748,1873176.341578424,46,3,0
5233090.239991735,1978156.3683920545,22,2,0
6845189.47398092,1253385.632741443,27,3,0
3631917.8259956944,1645374.1990467918,45,1,0
2869395.7534637656,1292157.8287784792,38,5,1
2665728.355561715,1861643.1520612617,24,5,1
2776284.572551843,3369366.7841138747,20,3,0
3884347.4358788435,902479.0856549148,62,5,1
4511727.962224966,709150.881698607,64,2,0
4415036.198995029,3176936.261994887,37,3,0
5240774.873554036,1832541.058278507,36,4,1
4019502.8378168605,1464741.8090720668,52,2,0
6180301.115735975,2831923.7499168613,21,2,0
3603014.750143066,1515507.5682105087,22,2,0
8080253.749884428,3460807.770837549,18,4,1
4938501.021647509,2542340.6970714154,21,1,0
2714263.6653755764,1609670.8734834378,29,5,1
2393661.2529083313,3725846.5706124026,44,3,0
4723708.622864778,1515428.0615973293,59,1,0
3664805.8220112235,2593676.2976074456,40,3,0
5071000.741138138,2239434.0643251934,42,5,1
4709856.436860317,3041393.0315190386,38,4,1
3890756.6310146907,3249208.9573814822,41,2,0
2729809.4228973924,2025603.3192526132,42,2,0
1727729.1629712032,1397265.7037230532,62,4,1
3330227.5718994685,2367977.714351293,63,1,0
5284598.191485208,1457827.7041983153,49,1,0
4321140.616195306,3610709.7980212984,49,3,0
2131391.831932018,2109228.26486619,22,4,1
4259771.388776773,1707742.758950313,53,1,0
4577976.069593255,2147744.2446919265,63,4,1
2674213.8456983007,922298.9683762428,59,5,1
4230587.658918292,1222708.7691914788,59,2,0
4087313.077669,2960331.1263555405,56,2,0
2285544.553254065,1474484.5768228834,33,2,0
4536681.0405224245,1162471.2138544484,50,4,1
4841176.789552351,2429322.202021829,38,4,1
5624576.864762915,2948563.3237303975,26,3,0
5580703.078052355,2575162.6485320535,23,2,0
1933495.9480643633,2796838.148644653,62,3,0
2593262.440127316,1394563.9291444314,52,2,0
4772552.90081299,862551.466606525,56,3,0
4770678.926368313,3201066.9215643895,39,3,0
4772571.529459072,1741856.1289262914,58,5,1
9779097.235982083,1799333.586835962,22,3,0
4856335.766039751,3062555.3134792466,59,4,1
5703348.460270898,2444984.007520528,40,3,0
5431002.645239804,2364710.2176652863,34,2,0
4977086.876958697,3732001.8759208675,29,3,0
3527096.1330394815,1485185.4156958857,40,1,0
5138453.830739901,2742272.1024649898,33,2,0
2840762.1781936423,2045610.4999176676,20,1,0
3644772.0898899864,2214873.8230906054,47,2,0
3271954.678256345,3222774.741130025,39,4,1
4122811.209079484,2406268.605031699,26,4,1
7471987.850010263,2430636.8632397065,46,4,1
1199102.2111123777,2858005.8698478416,64,1,0
5029390.28556177,1708037.8163656918,54,5,1
1580926.1932155224,1328632.2661287948,40,2,0
3292102.20131585,1164152.6447831732,30,4,1
5633425.895451049,426914.72849919857,49,2,0
4096420.028643194,3644965.7039522575,63,1,0
2383382.833106041,1117433.3074226535,64,5,1
2927044.4361100476,1822997.1011313824,40,1,0
5019396.623402013,1778549.3600888634,62,2,0
2904450.052424295,2245925.3582472806,34,5,1
4324687.884372963,2652589.7700314373,57,5,1
4068357.7598557207,2688378.790687796,38,1,0
3022599.4785912745,1533538.0491448492,19,4,1
7215916.133987988,1866302.6289708707,54,2,0
4950878.533477017,2226063.9603906395,23,3,0
962286.120013589,1801047.0990531624,61,3,0
4279681.472154141,3285876.460815994,35,1,0
3007320.302847418,2392779.961310601,47,2,0
5278650.002194336,2587902.228839854,39,2,0
2811218.8923509493,2530305.0149339302,50,1,0
3827895.3377996515,2938779.08598826,47,2,0
4757480.918470685,2144817.2469629655,34,4,1
5298632.791255182,962534.4416353228,60,1,0
2199555.3894163356,2319750.3614021135,49,4,1
3498248.1462385776,1478914.4849665368,59,2,0
3287582.0332585657,1577106.6546001947,31,1,0
3020006.151139432,2469091.2150040744,27,2,0
6648181.360421645,2990626.4571469086,64,1,0
4607472.5664414335,2017017.2613888492,53,2,0
2108674.0684974324,2247066.410079171,51,4,1
5376792.920582164,3361771.9557081903,26,4,1
7183234.29551895,2192602.543590855,59,2,0
5548697.890826721,4081346.491344316,45,1,0
1720945.0510689798,2452407.7165052355,28,3,0
3273648.890700623,591389.7926753459,31,4,1
5900366.7237799335,2602673.296883626,56,4,1
2938495.801571829,2304926.707906222,64,3,0
4665729.142219342,3031802.2032661964,36,2,0
5161951.080144005,2538545.081015967,32,1,0
2609604.2926328755,1889235.2128129809,45,2,0
3910711.9659073,1020561.4109685074,41,5,1
-861901.0101036085,1832781.3941711797,25,4,1
2463418.5379985655,1319583.6366325598,60,5,1
3621147.7729102597,1535581.240156222,26,4,1
2128325.227052726,2470862.7235364877,64,4,1
6448616.955897452,3335923.603481125,50,5,1
1854787.9330590512,2315737.223858385,50,5,1
3339933.2699545245,1043293.5503718525,36,2,0
4196110.865929137,2355682.1345761125,20,5,1
6161909.933599173,2957305.189316521,27,2,0
1846206.773230841,1512173.6765444942,57,2,0
5744745.628232439,1892786.2666616659,64,2,0
4015349.5915293805,2011750.5557833577,59,4,1
2527737.0234280736,1372081.349534208,18,4,1
4693155.211394906,2518624.347075087,46,5,1
4298589.543360205,1903241.4811137747,51,4,1
3099674.684261808,2335625.9551256225,30,5,1
4104703.1274850285,1290006.2577583198,18,4,1
3422029.60470736,1650033.3597412717,51,1,0
4170276.017876872,2577905.086262217,46,1,0
4993196.01178157,1701733.4783265865,64,5,1
6379025.224218028,3381571.0809867242,30,4,1
2143276.7517597266,1680291.0515083182,46,4,1
7199550.061984399,2179747.780601509,56,2,0
1071868.300716247,2746072.665498472,41,3,0
3772322.357446625,865307.4136535747,43,5,1
4882475.809726865,591352.9504153794,34,3,0
4421487.801602549,779474.9483439242,24,3,0
3065950.720269109,3010067.282741746,30,5,1
3687816.624464087,1558513.4832860427,22,4,1
3260498.5980117507,4046559.428534602,43,5,1
3115952.8645836827,1548601.9210740891,20,3,0
5274403.145531537,2147641.0425576298,24,4,1
4535523.228947571,3233687.9620543006,56,1,0
2960635.6071090186,3604874.3105272986,18,5,1
5349399.813149876,3649202.8613091186,34,5,1
4460949.281314914,2966692.9844745137,60,4,1
5219293.17825844,2819250.02064917,42,1,0
4944443.262885419,2474021.5593609465,20,1,0
2756507.4836168913,2622688.8609333104,32,4,1
3159728.439704546,1559051.4269371734,46,2,0
5120940.407684892,1345440.8932621544,60,5,1
4915555.398150197,1997300.4340712384,49,5,1
3968647.609053778,1863852.3019800573,43,3,0
4175991.074963173,1637417.56053818,33,4,1
5916497.343682637,2557109.957965372,42,3,0
3112642.916746255,2764244.1668564086,45,3,0
4820646.071755057,2070725.5090334779,26,1,0
3696711.021349159,3182024.0648442097,18,5,1
3673478.1951591694,1086648.708693196,46,3,0
5648165.277980785,1845072.4325762256,39,1,0
5238124.523482045,1426542.143517756,33,4,1
5220264.454000957,506770.7063415521,58,3,0
5958218.210731493,1933855.4513258405,61,5,1
4031505.762449139,1902601.9932933731,58,3,0
5022929.456942446,3210759.794593705,24,4,1
3534599.865109816,2504649.347643822,31,3,0
4486249.528732663,1180650.540536636,46,5,1
3804785.4184484733,3483274.0530673508,36,1,0
4145493.947489077,2976826.9564202824,36,5,1
4892735.53815537,2465678.1627748925,19,1,0
2772668.975149791,1818812.7209201343,58,2,0
7138580.913528191,1232448.6106212162,62,5,1
2490973.927750447,1702234.5791431577,32,5,1
2178717.0808184016,2870998.895763349,20,4,1
5737166.310250102,3507669.044747687,28,3,0
5187494.040944404,3234594.8226177515,63,1,0
4936179.725578233,1608920.4625709807,47,1,0
4942518.26389642,1104306.053368791,57,4,1
3981629.840729628,2112708.9975289633,35,4,1
2654118.4427712527,585248.5075497187,19,3,0
4113706.8372905897,2258534.1713478253,49,3,0
2984257.4327318324,1881917.930961065,25,5,1
5462679.600126627,1627170.7985054061,39,2,0
3779413.927746792,724237.5461865636,23,3,0
2761754.2048112326,2410880.0852557733,29,4,1
3517921.23752051,1573839.328270471,64,3,0
4619397.181413436,1064066.5314317695,57,1,0
3154413.170794038,-297809.77062531933,53,2,0
2766669.4066503528,1977988.075959491,32,5,1
4365530.817237869,3417801.2773357956,45,1,0
4367449.856663085,3329007.371638296,62,1,0
3239585.2369433055,1634322.9947309825,35,2,0
3293442.541572516,1518230.3517105756,19,5,1
4348074.906036454,2375019.4048600188,30,4,1
1827873.4877540139,1201291.6486493668,62,5,1
1888804.338435167,2241433.519855573,32,3,0
2922333.6681213463,2612864.222707752,37,1,0
3679829.272432229,2981546.579107446,46,3,0
4466361.348397007,1919876.7388160378,59,4,1
6213034.325424328,1837060.9998584273,46,3,0
5286489.4348030295,1297613.9305947511,20,5,1
3760092.205054859,1338495.716768112,36,3,0
3971475.6881459667,1818816.8864787787,20,4,1
2496205.9530432867,2293892.4054529425,31,4,1
3972230.2960114153,2730867.7009865995,57,4,1
3567012.0416197926,1357456.8394557242,21,5,1
4484077.840507134,3194150.855167617,28,4,1
2759153.5846715155,1783101.1191659449,48,1,0
4779019.771361759,1982906.164521251,60,4,1
6299108.369503867,1402230.6566817411,49,3,0
3836859.7773147137,60607.791781646665,44,3,0
4602567.583148412,2707236.3170888396,47,3,0
5035215.987566669,2589475.1176739465,60,5,1
3398169.2921712454,1774937.9543054292,19,3,0
4336138.722715626,2053592.5737798975,26,5,1
4018888.601172692,2412751.3741632793,45,5,1
4146514.1478232476,749963.3144907658,48,4,1
2840485.3242168003,1576757.8581229642,51,1,0
4036765.261388414,2635411.7436974617,32,4,1
4746997.436868175,996568.4614646005,42,4,1
6176715.4116925625,2234846.3457333036,53,5,1
5438906.23912781,914734.556301276,25,5,1
7229773.686267335,2373143.985946821,26,3,0
2848978.6556679257,1971486.8141620131,54,3,0
5308480.955081018,707894.5472755923,62,4,1
4275013.008607527,2931791.483565737,56,2,0
7284704.399826508,1412326.7385615606,49,2,0
2787552.571967273,1351798.0503884952,34,3,0
2740417.236728836,2160455.357784754,52,2,0
3100911.0318339667,2918909.879542972,54,3,0
814156.4135352895,1187342.5448172824,36,5,1
3211367.4674788583,2049343.8798783773,61,4,1
2861301.007669453,2343053.2002644585,46,1,0
4225590.679714312,2554484.4858105155,24,4,1
4512633.963665739,2141153.24422178,45,3,0
6814256.258823829,1706377.7287333421,26,3,0
5425635.757279076,1337927.8234810242,45,4,1
3134644.5165063953,2068915.1064370999,23,3,0
2652377.992977463,1142288.7904115145,46,2,0
4737878.757259758,-337080.3867956861,34,2,0
2019650.1894690366,2349247.843326134,33,3,0
6747188.148781531,2723147.872868956,40,3,0
5769160.18108193,109654.05156652932,48,2,0
3296236.5218429426,1192215.43623205,20,3,0
1430298.2063636836,2495323.408804158,38,3,0
6030808.561248119,3645996.375769359,43,4,1
3828190.232121073,2016634.9661403263,53,1,0
5856724.467960193,1417597.6470166924,59,2,0
1608358.5118084494,1853682.8471161278,54,4,1
3100937.4655693406,3099901.135318548,39,1,0
4007865.549577275,1483228.6567003718,59,3,0
4070470.8906471133,1360646.394679797,29,3,0
3324901.7927811346,1613805.182254374,59,4,1
4934274.898521248,1237337.1133930301,30,3,0
2398569.3559261085,2098136.2527958364,28,5,1
3786430.77246806,3299742.7667756486,33,4,1
4180443.4475678485,2258463.4184928234,25,1,0
4771658.251088124,1798117.19829897,57,4,1
5067422.317133334,1766550.9848675646,57,2,0
2313036.862243196,749447.3530426743,62,4,1
1698828.7438965668,2706487.821717727,19,3,0
5916515.232847763,1937730.2423897584,47,3,0
4498471.017969388,1855616.0691274996,47,5,1
2877270.1951651694,4554486.054275889,29,5,1
6326727.963283785,2239002.326692549,27,5,1
4173511.951439288,1398567.1599238524,61,1,0
5768945.77609574,1658913.9230355653,28,5,1
4101277.722115163,2918756.5673574037,32,1,0
7091121.887322981,2090616.3284302116,33,5,1
6633011.263664806,849377.6173461066,34,1,0
3626553.7772813896,2735383.1476601628,43,4,1
5457356.426431533,1465484.731568805,19,4,1
4968063.924377721,3498638.2209740365,29,3,0
6052947.3362985235,2864038.452571719,43,1,0
2552614.8091298435,1642142.4834729992,40,2,0
5029077.189997659,3024813.08938809,35,3,0
5587636.730274381,2054284.4084219227,49,4,1
1361890.7703653285,2682218.9400977753,55,1,0
2225112.231001337,2387786.25383558,64,5,1
941151.7333598491,1322914.676007301,20,2,0
3595889.7483331636,1485160.1341460305,55,4,1
5076313.383693944,2823968.654064929,20,3,0
6253535.578144042,1732179.7343147672,47,1,0
4111142.170629663,1677081.2294064027,18,2,0
6442923.318356938,1235901.9365205178,47,1,0
1929847.8126776628,2338879.252474769,62,5,1
1444926.3409672682,3650019.935394516,49,3,0
3916678.4516550717,1145973.6685965816,45,1,0
4576098.173408961,2019375.5653382065,38,4,1
3950957.8778588604,3129776.4443323435,63,3,0
898836.849940185,1936286.8870034278,30,4,1
3866319.9407308176,2361897.436999787,44,1,0
2043295.7492427202,1150085.1774824962,53,3,0
5004508.823245058,2342645.677766119,24,4,1
4549897.369145272,1850284.5879963608,39,5,1
2590180.320508967,2788583.9965438903,27,5,1
3229199.6239949595,2949908.841251801,56,1,0
2411179.717166573,4071650.913614891,32,3,0
3905981.354090242,2463706.5385708604,32,2,0
5432713.480751857,2260637.053265733,21,3,0
2521410.9304966843,2155507.441261869,49,5,1
4756069.773276767,1717466.9657514493,40,4,1
3204613.5724413386,2270787.074769353,23,2,0
2810690.751606484,1763678.8718887765,41,1,0
3839454.4600681635,2134768.7810156913,37,2,0
2447136.516370939,3054078.028486368,54,1,0
3169526.041979227,1194765.947776287,37,2,0
2203183.1611167276,2911902.8489032364,29,1,0
6947087.6993745845,3053692.0538718924,50,1,0
4052895.327957593,1905545.178407137,45,2,0
2950411.7380111217,302516.0807931244,25,2,0
4320969.866101333,1513742.410324454,18,1,0
3831507.925463755,3037595.6372488877,54,5,1
3668545.6007001656,1981705.5501608944,39,2,0
4921250.050065137,1200558.2141640713,23,3,0
5136261.565070958,1596180.063017426,38,4,1
3204248.278584209,2672496.0212036427,49,1,0
3136272.63903298,2437386.8545611035,52,1,0
3587422.4542725338,1808854.3206642445,32,4,1
547118.2528966228,1706540.47054825,22,5,1
1727213.4067021715,1686593.4807649425,63,4,1
6050311.401166787,1262071.852401198,23,2,0
6467451.570251925,3292300.5515755536,42,4,1
3626445.9406654327,1742143.624630928,63,1,0
4864835.44458365,2973726.816660397,57,4,1
4466875.231815305,3217052.841537961,46,3,0
8618321.212682856,2798648.7185183684,24,2,0
5679362.367151866,1654703.7498255614,57,4,1
3808123.6127788504,2322984.0722692874,30,1,0
2566689.3390993616,1980643.514887267,55,2,0
1590330.5196136413,1277038.5114158974,35,1,0
4305195.453800835,2259487.4253772823,19,5,1
2865473.882073545,1056768.1670721578,25,3,0
1866619.4356034887,2950143.510769251,28,5,1
3030140.67363621,1628306.1621612855,50,3,0
2377677.9945784076,2160927.7246982716,55,4,1
6530712.452608847,2226630.297236914,44,2,0
5322459.635424176,1792876.021036738,37,4,1
3988041.038025074,2469355.04118022,29,3,0
6219916.208335038,1620077.0747019805,60,3,0
4116052.461471427,2697037.8379657953,48,3,0
2708073.6980076046,923216.2558026011,44,1,0
6284686.115904486,2101103.6636371296,49,2,0
4808365.065526988,3551143.1992466277,27,4,1
2444130.7685103156,1199734.9403155402,20,4,1
3714491.9828745876,1457804.0235801188,62,5,1
2686572.6199228643,2411126.279727132,44,3,0
1925800.4035534959,2143665.4255516785,52,3,0
5389266.321297462,2280504.0794188473,48,3,0
6864124.960705196,2391349.7041181307,32,4,1
1902148.6392712882,2507777.174849416,33,5,1
4844453.855035856,2887759.8735649786,30,1,0
3024036.1463172594,2327854.92554281,52,2,0
3269311.924352956,1806993.8763051662,28,1,0
3111409.113641696,2538058.960962185,38,4,1
2704013.8454802763,3519905.5479161725,28,3,0
4072782.4419172406,1893893.0028939412,47,2,0
2753574.8253834434,1220376.5562634869,52,4,1
4405685.238669759,2885664.5354295783,39,4,1
3924642.8358262945,1903695.0688371214,55,4,1
3641577.9297003853,261864.36318877107,48,2,0
2638654.5069376035,2677937.341720337,31,2,0
3134843.0041475007,1571737.4512368618,41,5,1
5133086.838738634,1927573.3741566713,49,5,1
4751375.781436571,2265584.264455212,53,1,0
2533667.1328021735,2152399.743823253,49,2,0
4148998.4581438387,2567561.4537112317,32,2,0
5127080.685057684,1651610.9035441254,60,2,0
1495892.0783179426,2410484.6385408663,52,5,1
4815040.288569903,1792362.6579328664,20,4,1
3006064.36158123,2591048.3847100027,33,3,0
4855898.002889739,2492293.987210443,22,5,1
2855111.2651862246,1251649.0383643238,38,2,0
1292676.8490032214,2868785.6929400256,27,5,1
1558686.3431752562,1571229.2439087615,36,1,0
4072127.419992073,2646446.238624916,42,2,0
4389583.752582223,2293829.8507210724,21,1,0
2643525.062343387,3470546.941436098,46,2,0
4957888.6881660605,1821227.2141025183,36,5,1
1507719.90659656,1720546.563105442,60,4,1
3900880.3020290253,1984464.315289814,19,3,0
2183475.700356315,1757456.1737325797,27,1,0
3022245.8382967613,2639953.5215536403,60,5,1
4071098.006974621,706951.5132507298,42,4,1
2709379.9520740714,1157054.0646829167,37,5,1
3423166.683655262,1145757.6627366454,36,1,0
5509439.213821661,2760246.0735788606,40,3,0
3134662.195715277,3368490.6980655403,41,5,1
5253538.168097713,1916440.6251700227,28,2,0
2305439.7180135725,1864942.6214479916,63,4,1
4794706.266872924,2056041.730490545,51,5,1
6162352.9309868505,2929502.6420865525,45,4,1
292533.24980906583,1258117.4926475408,22,2,0
2804657.116794285,2190695.186187828,22,3,0
4865608.1907708105,2780158.1038259435,38,3,0
3695431.920935511,2400875.3359518764,29,2,0
4556718.810056963,2151665.2932789945,21,4,1
3094022.2199262693,2800836.874053713,59,5,1
4129884.68120935,-162585.83439938957,37,2,0
3766484.146911881,2542300.255624726,55,1,0
5751673.092489711,1476739.4534980608,42,4,1
4381631.26495182,535493.6825148345,31,3,0
4506403.993112803,2408962.0796199846,28,2,0
3382184.550816299,3098926.836130366,49,3,0
3268590.6638912596,1890041.1882978466,28,4,1
3351162.7182705686,2762299.637762351,35,3,0
4591678.213567445,3289822.6063909163,44,2,0
3368523.278769606,3051931.562867238,35,4,1
4434662.285344619,3311971.6234971145,40,1,0
7113101.197968159,2593701.992857514,28,2,0
5306687.055147538,2060346.9111212743,38,5,1
3510964.7017482384,718427.3504822652,61,2,0
5801820.883245917,1803150.009496041,22,4,1
3387886.940467673,1325402.7237470467,40,2,0
942813.1972332192,3736754.173998251,58,1,0
2487870.5336238937,1859291.3500541307,42,1,0
1193812.1184612163,2098563.8454275886,58,5,1
3472729.773938037,2441188.300832374,27,3,0
4027627.5687843277,2034881.957097963,39,4,1
6514655.968412925,3356040.8323446023,36,4,1
4490391.060646244,1501880.5106124384,18,3,0
3671349.206786704,2155685.9641897944,24,1,0
5244108.371775234,1406023.5314415614,21,1,0
683297.0364881721,943981.9910234353,18,2,0
4353421.837162849,1510584.7272757716,32,5,1
5156297.79083045,1970370.5623612704,57,5,1
1782120.6313302377,1656558.220386192,29,5,1
5715631.064810393,1446063.2161009153,39,2,0
4507744.611241621,874946.0290625328,39,5,1
3377068.129148798,1933515.5418970443,64,3,0
4949172.799159427,796223.7007751982,34,2,0
7406039.286706594,2608044.7709516822,46,3,0
4272799.382587743,2065951.8023476026,63,2,0
4372330.879450504,833958.8004280555,31,5,1
3310958.6506896336,1752632.7383601093,37,3,0
2725233.4458028125,1398274.8755275335,50,3,0
5245503.724816369,2255339.608335344,60,3,0
2715874.2611366995,3072360.356818516,32,2,0
4107349.3558290885,499862.02428340423,29,4,1
3283513.829852325,2092020.8633179336,57,5,1
4718469.738619588,1871893.7635466878,37,3,0
4500493.157930423,2537072.0611603726,47,4,1
5556309.916386848,2170557.3025901513,55,5,1
3234975.4017178793,1398424.5346089448,20,5,1
3595187.5970599432,1744756.8514667056,45,3,0
2531854.426326539,1363179.3145572087,43,3,0
3333560.1098858328,2860805.710878879,47,2,0
4565950.739567278,2017049.3189375538,30,4,1
5135482.9249680275,3520952.548602406,30,4,1
2616752.013733562,1951471.3489483034,19,3,0
5304408.8801584905,1433274.5864716298,54,5,1
6033456.788207427,789028.4859097383,55,3,0
4620152.354835551,557488.258995244,19,5,1
6815193.718837099,732691.2455956081,53,5,1
2839316.2013446405,2213701.320809187,43,3,0
